Source Well,Destination Well,Transfer Volume
F12,O10,240
F14,O10,40
E23,B11,240
F16,B11,40
E24,C11,240
F15,C11,40
F1,D11,240
F15,D11,40
F2,E11,240
F14,E11,40
F3,F11,240
F14,F11,40
F3,G11,240
F14,G11,40
F4,H11,240
F14,H11,40
F5,I11,240
F18,I11,40
F6,J11,240
F18,J11,40
F7,K11,240
F17,K11,40
F8,L11,240
F17,L11,40
F9,M11,240
F16,M11,40
F10,N11,240
F16,N11,40
F12,O11,240
F14,O11,40
E23,B12,240
F16,B12,40
E24,C12,240
F16,C12,40
F1,D12,240
F15,D12,40
F2,E12,240
F15,E12,40
F3,F12,240
F14,F12,40
F4,G12,240
F14,G12,40
F4,H12,240
F14,H12,40
F5,I12,240
F14,I12,40
F6,J12,240
F18,J12,40
F7,K12,240
F18,K12,40
F8,L12,240
F17,L12,40
F9,M12,240
F17,M12,40
F10,N12,240
F16,N12,40
F13,O12,240
F14,O12,40
E23,B13,240
F16,B13,40
E24,C13,240
F16,C13,40
F1,D13,240
F15,D13,40
F2,E13,240
F15,E13,40
F3,F13,240
F14,F13,40
F4,G13,240
F14,G13,40
F4,H13,240
F14,H13,40
F5,I13,240
F14,I13,40
F6,J13,240
F18,J13,40
F7,K13,240
F18,K13,40
F8,L13,240
F17,L13,40
F9,M13,240
F17,M13,40
F10,N13,240
F16,N13,40
F13,O13,240
F14,O13,40
E23,B14,240
F17,B14,40
E24,C14,240
F16,C14,40
F1,D14,240
F16,D14,40
F2,E14,240
F15,E14,40
F3,F14,240
F15,F14,40
F4,G14,240
F14,G14,40
F5,H14,240
F14,H14,40
F5,I14,240
F14,I14,40
F6,J14,240
F14,J14,40
F7,K14,240
F18,K14,40
F8,L14,240
F18,L14,40
F9,M14,240
F17,M14,40
F10,N14,240
F17,N14,40
F13,O14,240
F14,O14,40
E23,B15,240
F17,B15,40
E24,C15,240
F16,C15,40
F1,D15,240
F16,D15,40
F2,E15,240
F15,E15,40
F3,F15,240
F15,F15,40
F4,G15,240
F14,G15,40
F5,H15,240
F14,H15,40
F5,I15,240
F14,I15,40
F6,J15,240
F14,J15,40
F7,K15,240
F18,K15,40
F8,L15,240
F18,L15,40
F9,M15,240
F17,M15,40
F10,N15,240
F17,N15,40
F13,O15,240
F14,O15,40
E23,B16,240
F17,B16,40
E24,C16,240
F17,C16,40
F1,D16,240
F16,D16,40
F2,E16,240
F16,E16,40
F3,F16,240
F15,F16,40
F4,G16,240
F15,G16,40
F5,H16,240
F14,H16,40
F6,I16,240
F14,I16,40
F6,J16,240
F14,J16,40
F7,K16,240
F14,K16,40
F8,L16,240
F18,L16,40
F9,M16,240
F18,M16,40
F10,N16,240
F17,N16,40
E23,B17,240
F17,B17,40
E24,C17,240
F17,C17,40
F1,D17,240
F16,D17,40
F2,E17,240
F16,E17,40
F3,F17,240
F15,F17,40
F4,G17,240
F15,G17,40
F5,H17,240
F14,H17,40
F6,I17,240
F14,I17,40
F6,J17,240
F14,J17,40
F7,K17,240
F14,K17,40
F8,L17,240
F18,L17,40
F9,M17,240
F18,M17,40
F10,N17,240
F17,N17,40
E23,B18,240
F18,B18,40
E24,C18,240
F17,C18,40
F1,D18,240
F17,D18,40
F2,E18,240
F16,E18,40
F3,F18,240
F16,F18,40
F4,G18,240
F15,G18,40
F5,H18,240
F15,H18,40
F6,I18,240
F14,I18,40
F7,J18,240
F14,J18,40
F7,K18,240
F14,K18,40
F8,L18,240
F14,L18,40
F9,M18,240
F18,M18,40
F10,N18,240
F18,N18,40
E23,B19,240
F18,B19,40
E24,C19,240
F17,C19,40
F1,D19,240
F17,D19,40
F2,E19,240
F16,E19,40
F3,F19,240
F16,F19,40
F4,G19,240
F15,G19,40
F5,H19,240
F15,H19,40
F6,I19,240
F14,I19,40
F7,J19,240
F14,J19,40
F7,K19,240
F14,K19,40
F8,L19,240
F14,L19,40
F9,M19,240
F18,M19,40
F10,N19,240
F18,N19,40
E23,B20,240
F18,B20,40
E24,C20,240
F18,C20,40
F1,D20,240
F17,D20,40
F2,E20,240
F17,E20,40
F3,F20,240
F16,F20,40
F4,G20,240
F16,G20,40
F5,H20,240
F15,H20,40
F6,I20,240
F15,I20,40
F7,J20,240
F14,J20,40
F8,K20,240
F14,K20,40
F8,L20,240
F14,L20,40
F9,M20,240
F14,M20,40
F10,N20,240
F18,N20,40
E23,B21,240
F18,B21,40
E24,C21,240
F18,C21,40
F1,D21,240
F17,D21,40
F2,E21,240
F17,E21,40
F3,F21,240
F16,F21,40
F4,G21,240
F16,G21,40
F5,H21,240
F15,H21,40
F6,I21,240
F15,I21,40
F7,J21,240
F14,J21,40
F8,K21,240
F14,K21,40
F8,L21,240
F14,L21,40
F9,M21,240
F14,M21,40
F10,N21,240
F18,N21,40
E23,B22,240
F14,B22,40
E24,C22,240
F18,C22,40
F1,D22,240
F18,D22,40
F2,E22,240
F17,E22,40
F3,F22,240
F17,F22,40
F4,G22,240
F16,G22,40
F5,H22,240
F16,H22,40
F6,I22,240
F15,I22,40
F7,J22,240
F15,J22,40
F8,K22,240
F14,K22,40
F9,L22,240
F14,L22,40
F9,M22,240
F14,M22,40
F10,N22,240
F14,N22,40
E23,B23,240
F14,B23,40
E24,C23,240
F18,C23,40
F1,D23,240
F18,D23,40
F2,E23,240
F17,E23,40
F3,F23,240
F17,F23,40
F4,G23,240
F16,G23,40
F5,H23,240
F16,H23,40
F6,I23,240
F15,I23,40
F7,J23,240
F15,J23,40
F8,K23,240
F14,K23,40
F9,L23,240
F14,L23,40
F9,M23,240
F14,M23,40
F10,N23,240
F14,N23,40
