Source Well,Destination Well,Transfer Volume
D5,F23,40
C16,G23,240
D4,G23,40
C17,H23,240
D4,H23,40
C18,I23,240
D3,I23,40
C19,J23,240
D3,J23,40
C20,K23,240
D2,K23,40
C21,L23,240
D2,L23,40
C21,M23,240
D2,M23,40
C22,N23,240
D2,N23,40
