time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
400,753,99846,99122,89559,88064,83686,491,48139,45842,37327,31046,23343,485,459,426,707,2226,56299,493,7459,11980,12638,10496,6215,464,2146,6799,13465,19249,21730,539,46509,51646,51905,47571,34076,1074,28365,51355,68319,78436,83204,373,8163,21896,22677,19367,13664,38189,43168,59569,81711,80930,80976,445,961,2731,5050,5901,4380,547,543,611,2305,28204,45596,475,2981,21119,38926,35404,25395,722,9639,24982,75221,98783,98759,,,470,459,,,558.5,557.5,10941.5,11503.5
420,777.5,106827.5,111353.5,98780.5,97516.5,93428.5,517.5,53235.5,51285.5,39755.5,32987.5,24703.5,501.5,484.5,459.5,926.5,3670.5,59360.5,517.5,8408.5,12770.5,13736.5,11639.5,7016.5,498.5,2201.5,6910.5,13556.5,19433.5,21858.5,573.5,49801.5,54864.5,56212.5,53042.5,39147.5,1113.5,28563.5,52650.5,71659.5,83802.5,90113.5,408.5,8783.5,23951.5,24525.5,21344.5,14871.5,41199.5,47318.5,66372.5,95377.5,95309.5,95321.5,482.5,1002.5,2837.5,5276.5,6235.5,4750.5,576.5,580.5,649.5,2353.5,28262.5,46047.5,520.5,3054.5,22410.5,42848.5,39565.5,29263.5,775.5,9643.5,25170.5,77493.5,109436.5,109379.5,,,490.5,478.5,,,598.5,593.5,11319.5,11907.5
440,813.5,112839.5,123877.5,107226.5,107399.5,103330.5,558.5,57788.5,56622.5,42102.5,34838.5,25764.5,539.5,523.5,504.5,1164.5,6190.5,61419.5,546.5,9101.5,13156.5,14562.5,12566.5,7850.5,522.5,2257.5,7001.5,13698.5,19618.5,22049.5,614.5,51795.5,56776.5,58724.5,57355.5,43804.5,1150.5,28700.5,53671.5,74219.5,88278.5,95934.5,435.5,9203.5,26215.5,25868.5,22776.5,15974.5,43956.5,50530.5,72607.5,108698.5,109094.5,109338.5,513.5,1060.5,2928.5,5425.5,6499.5,5115.5,603.5,605.5,691.5,2390.5,28251.5,46092.5,552.5,3102.5,23348.5,46027.5,43165.5,33022.5,817.5,9715.5,25010.5,78787.5,118531.5,118742.5,,,513.5,514.5,,,612,614,11723,12339
460,845.5,117960.5,134792.5,116861.5,115297.5,111409.5,576.5,61629.5,62335.5,44820.5,36912.5,27032.5,561.5,542.5,521.5,1499.5,8428.5,62663.5,577.5,9673.5,13462.5,14904.5,13191.5,8654.5,548.5,2287.5,7051.5,13765.5,19672.5,22032.5,642.5,53326.5,57595.5,59745.5,59915.5,47731.5,1180.5,28805.5,54094.5,75751.5,91283.5,99959.5,462.5,9580.5,28779.5,27288.5,24125.5,16885.5,46047.5,53180.5,77482.5,120763.5,122222.5,122683.5,543.5,1082.5,2972.5,5520.5,6703.5,5426.5,628.5,630.5,707.5,2380.5,28059.5,46262.5,565.5,3118.5,23644.5,48565.5,46033.5,36280.5,851.5,9731.5,25043.5,80897.5,126440.5,126764.5,,,531.5,526.5,,,646.5,646.5,12093.5,12743.5
480,878,122218,144116,125653,124183,120915,609,64218,67710,47271,38744,28452,593,551,550,1814,11045,63933,602,10047,13607,15103,13388,9210,578,2301,7073,13807,19670,22016,658,54321,58303,60381,61544,50510,1206,28613,54104,76229,93928,102967,491,9803,31107,28704,25373,17698,47644,55295,81574,130765,133823,133792,565,1118,3019,5602,6893,5694,661,656,721,2400,27942,45803,598,3126,23919,50702,48601,39666,894,9701,24893,80874,132990,134097,,,556,551,,,676,670,12402,13011
500,908,125332,154239,134627,132940,130105,623,66221,73028,49960,40806,29898,610,584,581,2131,14508,64570,630,10279,13704,15297,13693,9555,597,2342,7081,13796,19606,21912,687,54926,58477,60635,62344,52333,1238,28617,54005,76279,94672,105148,503,9912,33504,29846,26651,18327,49160,56932,84913,138704,142849,143438,590,1136,3028,5601,6937,5891,690,670,755,2408,27606,45354,617,3151,24027,52001,49953,42334,925,9746,24628,81461,139704,140533,,,572,564,,,692,688,12617,13342
520,928.5,129390.5,163122.5,143669.5,142312.5,140407.5,644.5,68020.5,78587.5,52989.5,42909.5,31563.5,642.5,613.5,601.5,2304.5,18553.5,65025.5,651.5,10375.5,13873.5,15579.5,13933.5,9678.5,609.5,2335.5,7094.5,13856.5,19646.5,21933.5,716.5,55722.5,59035.5,60919.5,63140.5,53294.5,1247.5,28670.5,54115.5,76762.5,95658.5,107110.5,523.5,10093.5,35672.5,31334.5,27920.5,19118.5,50297.5,58461.5,88033.5,146689.5,152736.5,152752.5,603.5,1163.5,3041.5,5623.5,6995.5,6062.5,704.5,699.5,756.5,2434.5,27877.5,45623.5,641.5,3178.5,24352.5,52833.5,51006.5,44964.5,939.5,9756.5,24627.5,81877.5,145677.5,147021.5,,,592.5,588.5,,,722,706,12953,13606
540,946.5,132109.5,171498.5,152138.5,150387.5,149419.5,669.5,69544.5,83879.5,56031.5,45286.5,33319.5,648.5,627.5,617.5,2381.5,23575.5,64774.5,665.5,10392.5,14024.5,15775.5,14203.5,9886.5,632.5,2368.5,7137.5,13835.5,19681.5,22091.5,729.5,56465.5,59558.5,61387.5,63562.5,54223.5,1260.5,28481.5,54143.5,77172.5,96589.5,108391.5,546.5,10156.5,37401.5,32705.5,29472.5,19868.5,51433.5,59691.5,90143.5,152989.5,160780.5,160354.5,622.5,1171.5,3051.5,5643.5,7017.5,6194.5,718.5,708.5,769.5,2449.5,27662.5,45711.5,660.5,3216.5,24457.5,53885.5,52164.5,46667.5,954.5,9711.5,24866.5,81900.5,151534.5,152993.5,,,604.5,604.5,,,736,732,13195,14043
560,967,134174,179404,159927,159296,159057,682,70957,89057,59108,47390,35226,668,640,631,2447,28520,64825,679,10445,14273,16003,14557,10112,646,2376,7102,13767,19624,22086,738,57429,60537,61907,64023,54994,1287,28483,53935,77049,97209,109580,559,10077,38725,33769,30780,20623,52464,60648,92129,158430,167127,166231,635,1174,3059,5664,7048,6175,726,715,792,2450,27526,45505,667,3195,24555,54702,52991,47456,967,9697,24676,81436,156430,158210,,,620,616,,,759.5,741.5,13374.5,14222.5
580,998.5,136003.5,186238.5,167905.5,167689.5,168172.5,703.5,72316.5,93685.5,62254.5,49433.5,37171.5,697.5,662.5,665.5,2514.5,32239.5,65071.5,707.5,10553.5,14493.5,16333.5,14910.5,10408.5,671.5,2398.5,7144.5,13741.5,19499.5,22073.5,761.5,58533.5,60974.5,62365.5,65045.5,56199.5,1311.5,28439.5,53893.5,76576.5,96965.5,110734.5,585.5,10111.5,39702.5,34945.5,32172.5,21498.5,52956.5,61091.5,93927.5,163657.5,174067.5,172630.5,659.5,1195.5,3079.5,5683.5,7101.5,6274.5,754.5,736.5,809.5,2477.5,27458.5,45438.5,687.5,3237.5,24656.5,55677.5,53925.5,48334.5,986.5,9655.5,24584.5,81243.5,160955.5,162725.5,,,643.5,635.5,,,766,753,13455,14411
