time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
400,2957,257713,257713,257713,257713,257713,1929,190258,181533,147338,122887,92905,1902,1814,1693,2793,9217,222088,1939,29828,48024,50703,41997,24926,1823,8537,27088,53403,76669,86240,2147,183175,203767,204525,188405,135752,4274,112962,202262,257713,257713,257713,1462,32358,86918,90244,77080,54437,151056,170777,233652,257713,257713,257713,1790,3800,10874,20215,23526,17525,2153,2157,2418,9204,112447,180156,1913,11769,84349,154457,141179,101579,2909,38251,99392,257713,257713,257713,,,1856,1793,,,2239,2216,43780,45825
420,3070,257685,257685,257685,257685,257685,2060,209394,200253,157082,129831,97702,1984,1875,1821,3664,15077,233490,2015,33353,50974,54974,46517,28128,1933,8762,27487,54276,77489,86980,2261,196159,216542,220695,209106,156118,4418,113711,207631,257685,257685,257685,1600,35076,95232,97141,85028,59097,163091,186637,257566,257685,257685,257685,1898,3986,11364,21143,24998,19069,2265,2284,2559,9271,112762,181674,2027,12150,89460,170138,157531,117183,3115,38671,99999,257685,257685,257685,,,1932,1912,,,2375.5,2376.5,45237.5,47517.5
440,3264,257680,257680,257680,257680,257680,2172,227749,222287,166752,138486,102582,2092,2033,1955,4698,24997,242438,2170,36297,52507,57808,50299,31574,2063,9002,27879,54861,78103,87679,2398,204536,223199,230590,225487,174188,4604,114225,211487,257680,257680,257680,1725,36820,104414,102980,90659,63701,173881,199757,257680,257680,257680,257680,2042,4177,11711,21848,26058,20480,2414,2381,2678,9461,112632,182241,2201,12463,93250,182628,171458,131826,3262,38796,100081,257680,257680,257680,,,2036,2013,,,2460,2468,46979,49490
460,3340,257679,257679,257679,257679,257679,2283,240816,243374,176685,145589,107142,2259,2180,2098,6013,33868,247823,2320,38362,53243,59138,52176,34615,2181,9178,28167,55111,78374,87962,2534,210264,225886,235374,235122,187937,4695,113915,213508,257679,257679,257679,1828,38296,114129,108084,95524,67003,182193,210614,257679,257679,257679,257679,2139,4350,11959,22125,26930,21693,2527,2535,2819,9601,111956,182517,2304,12505,94577,193146,183223,145433,3458,38861,99812,257679,257679,257679,,,2136,2107,,,2588.5,2580.5,48335.5,50884.5
480,3447.5,257658.5,257658.5,257658.5,257658.5,257658.5,2352.5,250737.5,257658.5,185727.5,153212.5,112384.5,2337.5,2219.5,2184.5,7325.5,44833.5,251288.5,2389.5,40034.5,53789.5,59822.5,53241.5,36538.5,2284.5,9152.5,28161.5,55068.5,78391.5,87919.5,2619.5,214528.5,228197.5,236858.5,241302.5,199436.5,4779.5,113944.5,212799.5,257658.5,257658.5,257658.5,1912.5,39300.5,123785.5,113818.5,100811.5,70345.5,188230.5,217469.5,257658.5,257658.5,257658.5,257658.5,2233.5,4440.5,12085.5,22302.5,27510.5,22790.5,2653.5,2598.5,2873.5,9560.5,111234.5,181256.5,2350.5,12534.5,95183.5,200359.5,191606.5,157710.5,3550.5,38855.5,99074.5,257658.5,257658.5,257658.5,,,2215.5,2169.5,,,2665.5,2650.5,49589.5,52215.5
500,3561,257650,257650,257650,257650,257650,2434,256702,257650,196930,161098,118076,2444,2309,2314,8550,58420,252808,2485,40692,54358,60516,54160,37746,2388,9269,28170,55008,77874,87530,2721,215774,228967,236679,243671,206073,4902,113594,213316,257650,257650,257650,1990,39819,132731,118670,105516,73025,193933,224557,257650,257650,257650,257650,2317,4527,12031,22254,27654,23633,2714,2674,2953,9675,109948,180440,2479,12576,95305,204605,196732,168246,3674,38974,98196,257650,257650,257650,,,2293,2254,,,2745,2787,50451,53462
520,3667,257651,257651,257651,257651,257651,2542,257651,257651,207808,169355,124877,2511,2418,2386,9156,74311,252712,2562,41205,55062,61590,55301,38443,2442,9337,28139,54809,78172,87585,2825,218276,231100,238310,245856,209343,4994,113587,212574,257651,257651,257651,2083,40402,141844,123969,111031,75729,199055,230433,257651,257651,257651,257651,2410,4612,12227,22508,27779,24286,2803,2741,3043,9727,110462,180168,2559,12728,96820,208567,200275,177625,3757,38779,98083,257651,257651,257651,,,2389,2346,,,2849,2831,51369,54476
540,3764.5,257649.5,257649.5,257649.5,257649.5,257649.5,2646.5,257649.5,257649.5,219071.5,178444.5,131975.5,2562.5,2478.5,2479.5,9476.5,94476.5,252767.5,2657.5,41383.5,55858.5,62517.5,56346.5,39278.5,2538.5,9392.5,28231.5,54708.5,78159.5,87606.5,2904.5,220862.5,233297.5,239069.5,247111.5,211717.5,5061.5,112749.5,211633.5,257649.5,257649.5,257649.5,2157.5,40462.5,147720.5,128936.5,116875.5,79027.5,203352.5,234268.5,257649.5,257649.5,257649.5,257649.5,2477.5,4685.5,12193.5,22466.5,28045.5,24610.5,2874.5,2829.5,3102.5,9749.5,109970.5,180667.5,2625.5,12808.5,97099.5,212706.5,204906.5,182729.5,3835.5,38565.5,98647.5,257649.5,257649.5,257649.5,,,2441.5,2412.5,,,2930.5,2925.5,52629.5,55626.5
560,3804.5,257626.5,257626.5,257626.5,257626.5,257626.5,2694.5,257626.5,257626.5,230766.5,186189.5,139311.5,2643.5,2506.5,2511.5,9786.5,113894.5,253678.5,2686.5,41544.5,56720.5,63427.5,57834.5,40248.5,2572.5,9425.5,28283.5,54722.5,77866.5,87479.5,2975.5,225382.5,235951.5,240753.5,250246.5,215368.5,5105.5,112394.5,211910.5,257626.5,257626.5,257626.5,2216.5,40272.5,153492.5,133650.5,121868.5,81766.5,206106.5,237263.5,257626.5,257626.5,257626.5,257626.5,2511.5,4677.5,12225.5,22414.5,27942.5,24702.5,2920.5,2883.5,3178.5,9816.5,109465.5,179195.5,2669.5,12828.5,97197.5,214247.5,207893.5,186463.5,3905.5,38634.5,98324.5,257626.5,257626.5,257626.5,,,2466.5,2468.5,,,3001,2988,53314,56744
580,3927.5,257626.5,257626.5,257626.5,257626.5,257626.5,2758.5,257626.5,257626.5,242588.5,194221.5,146365.5,2714.5,2593.5,2584.5,10004.5,128036.5,253805.5,2774.5,41708.5,57514.5,64750.5,58934.5,41351.5,2643.5,9524.5,28285.5,54711.5,77437.5,87603.5,3019.5,229023.5,238917.5,243154.5,252630.5,220211.5,5138.5,112923.5,211214.5,257626.5,257626.5,257626.5,2305.5,40122.5,156868.5,137762.5,127222.5,85446.5,207537.5,238808.5,257626.5,257626.5,257626.5,257626.5,2594.5,4707.5,12312.5,22514.5,28129.5,24862.5,3001.5,2945.5,3223.5,9857.5,108867.5,178908.5,2737.5,12783.5,97204.5,217186.5,211399.5,190899.5,3937.5,38598.5,98008.5,257626.5,257626.5,257626.5,,,2556.5,2515.5,,,3060.5,3022.5,53531.5,57387.5
