name,short_name,construct_id
3K3-P17*-gfp-B15-P(ara)-sECF17*-Ln-SP7-P(Cym)-30-(ST)sSspDnaX,linker split,A90
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP7-P(Cym)-30-(ST)sSspDnaX,e17x30STSspDnaX,A90II
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP8-P(Cym)-30-sSspGyrB,e17x30SspGyrB,A91
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP9-P(Cym)-30-sTerThyX.S2,e17x30TerThyXS2,A92
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP9-P(Cym)-30-sTerThyX.S1,e17x30TerThyXS1,A93
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP10-P(Cym)-30-sTvoVMA,e17x30TvoVMA,A94
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP11-P(Cym)-30-(ST)sPhoRadA,e17x30STPhoRadA,A95
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP11-P(Cym)-32-(ST)sPhoRadA,e17x32STPhoRadA,A96
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP20-P(Cym)-30-sCth_Ter,e17x30CthTer,A97
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP20-P(Cym)-32-sCth_Ter,e17x32CthTer,A98
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP27-P(Cym)-30-sMP-M_DnaB,e17x30MPMDnaB,A99
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP29-P(Cym)-30-sSaP_dpol,e17x30SaPdpol,A100
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP31-P(Cym)-32-sNrdA-2,e17x32NrdA2,A101
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP31-P(Cym)-33-sNrdA-2,e17x33NrdA2,A102
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP33-P(Cym)-30-sMja_KlbA,e17x30MjaKlbA,A103
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP33-P(Cym)-33-sMja_KlbA,e17x33MjaKlbA,A104
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP1-P(Cym)-32-sM86,e20x32M86,A105
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP2-P(Cym)-30-(ST)sNpuSsp.S2,e20x30STNpuSspS2,A106
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP2-P(Cym)-32-(ST)sNpuSsp.S2,e20x32STNpuSspS2,A107
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP3-P(Cym)-32-sgp41-1,e20x32gp411,A109
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP4-P(Cym)-30-sgp41-8,e20x30gp418,A110
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP4-P(Cym)-32-sgp41-8,e20x32gp418,A111
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP5-P(Cym)-32-sNrdJ-1,e20x32NrdJ1,A112
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP5-P(Cym)-33-sNrdJ-1,e20x33NrdJ1,A113
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP6-P(Cym)-30-(ST)sIMPDH-1,e20x30STIMPDH1,A114
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP6-P(Cym)-32-(ST)sIMPDH-1,e20x32STIMPDH1,A115
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP7-P(Cym)-30-(ST)sSspDnaX,e20x30STsSspDnaX,A116
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP8-P(Cym)-30-sSspGyrB,e20x30SspGyrB,A117
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP9-P(Cym)-30-sTerThyX.S2,e20x30TerThyXS2,A118
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP9-P(Cym)-30-sTerThyX.S1,e20x30TerThyXS1,A119
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP10-P(Cym)-30-sTvoVMA,e20x30TvoVMA,A120
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP11-P(Cym)-30-(ST)sPhoRadA,e20x30STPhoRadA,A121
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP11-P(Cym)-32-(ST)sPhoRadA,e20x32STPhoRadA,A122
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP20-P(Cym)-32-sCth_Ter,e20x32CthTer,A124
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP29-P(Cym)-30-sSaP_dpol,e20x30SaPdpol,A126
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP31-P(Cym)-32-sNrdA-2,e20x32NrdA2,A127
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP31-P(Cym)-33-sNrdA-2,e20x33NrdA2,A128
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP33-P(Cym)-30-sMja_KlbA,e20x30MjaKlbA,A129
3K3-P20*-gfp-B15-P(ara)-sECF20*-SP33-P(Cym)-33-sMja_KlbA,e20x33MjaKlbA,A130
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP1-P(Cym)-32-sM86,e22x32M86,A131
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP2-P(Cym)-30-sNpuSsp.S1,e22x30NpuSspS1,A134
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP3-P(Cym)-32-sgp41-1,e22x32gp411,A135
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP4-P(Cym)-30-sgp41-8,e22x30gp418,A136
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP4-P(Cym)-32-sgp41-8,e22x32gp418,A137
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP5-P(Cym)-32-sNrdJ-1,e22x32NrdJ1,A138
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP5-P(Cym)-33-sNrdJ-1,e22x33NrdJ1,A139
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP6-P(Cym)-32-(ST)sIMPDH-1,e22x32STIMPDH1,A141
3K3-P22*-gfp-B15-P(ara)-sECF22*-SP7-P(Cym)-30-(ST)sSspDnaX,e22x30STsSspDnaX,A142
