code_name,ind1_lvl,ind2_lvl,short_name,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min
A76,1,2,e16x33NrdA2,2185.35,1150.49,-37.93,-89.89,180.72,147.74,138.9,4.83,-48.74,760.08,2842.98,6413.86,9880.69,14393.23,20418.42,26922.61,31073.54,32563.73,32695.96,32885.77,32945.02,32754.97,32002.88,31550.26,30367.75,30828.39,30423.09,30519.75,29728.51,30263.71,30188.5,30581.54,30551.44,30490.57,30862.06,30778.14,32388.27,31067.99,31537.94,31636.91,31675.37,32094.43,31197.09,31330.44,32086.94,32166.37,31746.6,32500.09,31106.99,32846.02,32788.5,33140.96,33141.02,32671.92,33361.35,33620.93,32896.66,33592.56,34071.1,34627.81,34230.48,34707.23,34787.5,34566.41,34816.3,35353.08,35226.73,35643.23,35922.05,36004.32,35555.93,36386.41
A109,1,0,e20x32gp411,2231.3,2549.01,980.19,1275.3,422.71,-8.99,-29.39,-157.22,-53.31,51.16,1294.63,4157.77,6851.08,7261.8,7404.22,7588.43,7858.88,8427.07,8799.95,9282.52,9470.36,9717.11,9814.53,9854.74,9691.92,9791.47,9868.39,9943.76,9674.59,9923.73,9970.03,10158.43,10118.98,10129.09,10114.02,10189.03,10739.12,10264.28,10373.48,10449.3,10442.68,10643.79,10460.35,10292.71,10420.15,10541.42,10371.15,10645.56,10382.58,10667.93,10761.86,10808.22,10875.4,10824.66,10864.78,10980.11,10796.56,10848.65,11032.25,11314.9,11174.18,11426.59,11386.62,11469.45,11358.9,11491.68,11539.11,11614.07,11425.91,11691.99,11601.16,11818.98
A109,1,1,e20x32gp411,-1167.82,-814.56,-692.23,-637.49,-610.41,-47.02,-261.8,-177.58,-50.01,1738.31,6998.0,13161.01,18718.28,21516.74,21853.24,21997.07,21775.27,22317.89,23340.29,24241.15,25212.1,25700.28,26041.69,26236.99,25831.47,26211.7,26114.3,26482.69,26127.12,26523.56,26288.5,26974.6,26856.72,27231.43,27363.96,27324.35,28734.6,26918.52,27502.52,27433.45,27920.1,28037.86,27658.8,27649.62,28345.05,28011.1,27854.48,28691.55,27155.91,28833.95,28298.95,29131.62,28353.36,27871.91,29012.14,29009.93,29126.91,29476.21,29534.21,29508.39,29660.73,29701.01,30031.02,30152.44,29941.11,29982.26,29846.92,30349.93,30835.24,30976.95,30571.43,31402.05
A109,1,2,e20x32gp411,-2952.62,-1684.97,-1979.96,-898.06,-1125.21,-180.07,-356.06,-56.17,144.82,4226.76,9893.2,14695.11,18930.6,23115.22,24523.29,24636.59,24176.53,23945.22,24114.61,25122.46,26087.43,26723.94,26819.0,27074.21,26960.61,27274.16,27595.83,27799.1,27603.01,27416.44,28226.65,27922.5,28214.51,29178.52,28718.96,28961.68,30045.52,29070.43,29384.25,29440.51,29875.9,29943.61,29928.34,30429.38,30379.56,30727.7,30639.66,31663.46,30520.79,31307.23,30927.47,31539.24,31604.35,31566.72,32173.4,32053.03,32700.03,32700.17,32860.49,33155.59,32968.71,33693.4,33367.48,33581.94,33993.67,33702.94,34024.12,34582.4,34602.2,34601.49,34794.51,34962.01
A18,2,0,e11x32STPhoRadA,-2093.64,-742.82,-2213.66,-1290.32,-291.53,-22.48,-327.75,-157.11,-166.85,-125.44,10.06,1660.39,4319.51,8019.72,12166.5,16216.08,18764.46,20630.86,21633.59,22721.57,24181.82,24571.83,24390.5,24729.21,25347.06,25821.69,25306.26,25357.94,26164.97,25620.7,25637.39,25773.08,25710.6,25872.36,25236.13,26075.63,27321.64,26155.39,26481.6,26559.35,26386.78,25986.97,25946.16,27256.98,26405.96,26191.44,27484.96,26773.37,26622.44,26261.1,26925.16,26972.29,26607.3,26272.2,26644.21,26516.71,27998.84,27494.78,28163.42,27208.61,27835.18,26734.08,27169.58,29183.73,28246.23,27194.01,28033.57,28676.15,29681.21,28210.96,29242.08,29065.1
A18,2,1,e11x32STPhoRadA,-821.36,-2742.33,-750.69,-428.15,-75.04,12.37,156.3,-48.15,-137.48,245.68,2277.7,8091.74,13824.34,19492.58,26146.08,33821.59,41320.63,49834.48,56642.99,57001.33,60791.17,63151.11,63543.59,65702.65,67328.93,69487.63,70871.04,72674.75,74160.51,74724.96,75524.1,76600.29,76671.78,78397.24,79153.33,81433.93,85302.94,81642.05,82261.94,83471.4,83150.46,85336.78,84157.89,85600.71,85936.55,85240.71,86380.94,86836.19,86774.84,87648.68,87081.65,88007.45,89230.62,87808.08,87739.08,88925.76,89206.15,89654.22,90146.04,90837.18,92194.92,92673.75,93421.35,94436.66,93615.55,93781.16,94970.12,95707.0,95188.4,96656.39,96092.33,98287.21
A18,2,2,e11x32STPhoRadA,2881.3,-325.14,817.8,282.91,536.67,602.02,132.92,120.91,-10.35,1493.1,4844.4,9798.04,14707.11,19011.96,23723.2,28399.6,33463.55,39464.77,44897.39,48809.8,47317.37,47742.28,48519.81,50650.75,51987.94,53851.64,55413.31,57044.93,59224.37,59928.24,61541.06,62952.19,62887.75,64042.73,64252.72,65439.57,69304.1,65648.06,66143.49,66149.67,66501.63,67756.29,66708.61,67503.4,67608.27,67294.69,67822.96,67542.86,67543.62,67340.57,67416.86,67703.13,68646.59,67172.64,68142.85,68633.71,68941.65,69110.13,69108.06,69906.25,69717.25,70025.27,71281.38,71761.36,71197.23,71307.69,71999.35,72912.0,73403.64,72923.01,73790.84,74406.62
A29,2,0,e15x32NpuSspS2,1214.63,-586.21,-640.86,-303.51,169.81,111.81,157.94,40.64,-69.04,89.6,611.01,1639.73,3276.72,4134.71,4538.78,4494.46,4703.86,4801.01,4867.87,4864.17,5083.6,5037.65,5065.71,5092.29,5106.59,5271.4,5254.62,5329.36,5241.9,5275.83,5473.71,5475.66,5502.63,5431.63,5458.55,5502.73,5792.92,5452.47,5529.91,5649.46,5704.36,5840.28,5666.56,5771.83,5944.77,5833.59,5909.74,6130.43,6123.16,6135.27,6363.93,6321.36,6363.86,6366.99,6411.28,6644.02,6550.42,6518.8,6675.86,6865.81,6727.74,6903.49,6864.63,6867.79,6741.68,6725.81,6919.92,6993.89,7071.65,7012.03,7024.03,7298.26
A29,2,1,e15x32NpuSspS2,1140.97,1081.33,-311.57,364.01,222.25,148.38,-87.23,6.19,-51.72,667.36,2745.29,4729.26,7025.69,9605.3,11302.76,11779.21,11800.72,11935.17,12099.04,12248.69,12480.48,12742.87,12695.65,12835.9,12850.07,13057.4,13097.03,13237.11,13258.92,13188.25,13396.5,13680.07,13808.95,13624.76,13766.62,13897.59,14679.03,13876.51,13968.47,14148.66,14372.45,14709.35,14386.83,14521.73,14617.62,14743.02,14739.82,15116.56,14912.17,15199.09,15395.43,15420.73,15633.66,15616.75,15739.8,15953.31,16006.63,15967.24,16220.66,16271.33,16522.44,16690.77,16892.09,17091.82,16923.75,17158.1,17351.48,17524.9,17395.48,17668.42,17608.73,18103.71
A29,2,2,e15x32NpuSspS2,1983.79,1542.37,1108.16,309.33,28.47,130.86,56.5,7.23,0.65,1073.4,2685.08,4306.51,5661.66,7323.34,9060.02,10488.34,10807.59,10729.08,10911.52,10945.46,11148.64,11368.63,11224.03,11442.53,11565.48,11850.24,11657.98,11676.02,11754.77,11751.12,11900.89,12014.29,12197.58,12154.59,12367.62,12496.26,13059.6,12205.36,12590.84,12545.83,12709.37,12958.06,12580.92,12777.95,13014.8,12916.41,13012.8,13224.11,13045.73,13421.27,13639.69,13591.08,13554.85,13490.23,13542.58,13791.96,13946.21,13688.54,13932.02,13972.62,14058.07,14108.75,14490.69,14632.13,14375.54,14448.72,14607.89,14604.41,14895.02,14996.19,14914.22,15410.6
