user_id,transactions
14875,1
33821,1
17182,1
18720,1
32296,1
16681,1
17971,1
20538,1
21820,1
18002,1
18006,1
16729,1
18274,1
16756,1
13433,1
18821,1
20873,1
17036,1
18320,1
18069,1
20391,1
18095,1
29873,1
18363,1
37054,1
12223,1
13764,1
31172,1
11979,1
17869,1
18126,1
37075,1
16597,1
14809,1
17369,1
18909,1
15331,1
16184,1
16476,1
12565,1
15388,1
34084,1
18728,1
15926,1
21580,1
1121,1
19310,1
30575,1
13171,1
19320,1
19321,1
36278,1
19158,1
17370,1
17372,1
19365,1
13618,1
16081,1
17294,1
16883,1
10524,1
10527,1
11807,1
13345,1
11813,1
13350,1
11306,1
13354,1
12587,1
13355,1
13356,1
13379,1
5974,1
20827,1
21105,1
11644,1
11657,1
31406,1
11699,1
21683,1
18874,1
3922,1
17421,1
17423,1
13093,1
13097,1
10814,1
11333,1
11092,1
6522,1
10875,1
11665,1
11927,1
12962,1
11195,1
12736,1
12752,1
17884,1
13302,1
12041,1
12815,1
12818,1
12833,1
12852,1
13113,1
17986,1
13173,1
13180,1
13211,1
14495,1
14496,1
13257,1
14025,1
13002,1
13003,1
14060,1
13038,1
13790,1
13539,1
18525,1
15693,1
15733,1
6460,1
13762,1
13890,1
13894,1
13897,1
5889,1
4614,1
13326,1
13330,1
13333,1
3623,1
6446,1
12854,1
13369,1
12861,1
11327,1
11076,1
10591,1
13410,1
3684,1
11382,1
3733,1
4511,1
10662,1
12457,1
11216,1
11222,1
10712,1
11228,1
11239,1
10731,1
10734,1
11256,1
13308,1
18194,1
17683,1
20526,1
20531,1
17479,1
17512,1
18794,1
15979,1
15214,1
20100,1
20360,1
18057,1
19403,1
19409,1
19412,1
19422,1
18410,1
13585,1
12339,1
12348,1
12174,1
11947,1
12341,1
13111,1
13888,1
13382,1
13391,1
16723,1
12931,1
12439,1
13753,1
16858,1
12252,1
12517,1
12518,1
12523,1
15625,1
19574,1
20211,1
17589,1
15948,1
14988,1
15601,1
15605,1
11788,1
13604,1
12607,1
11928,1
11690,1
12971,1
440,1
12737,1
16899,1
18499,1
18039,1
15698,1
16249,1
16587,1
16593,1
16596,1
16605,1
16606,1
16624,1
16629,1
14108,1
4185,1
6600,1
10729,1
3916,1
17161,1
4125,1
19416,1
19420,1
10552,1
14864,1
18448,1
4636,1
19996,1
4641,1
11816,1
11817,1
18733,1
20525,1
14390,1
17465,1
10811,1
17979,1
17469,1
20552,1
17485,1
18768,1
19029,1
17498,1
17502,1
17257,1
17518,1
17775,1
17777,1
17010,1
19826,1
20594,1
19827,1
6516,1
19063,1
18042,1
20350,1
17540,1
11916,1
18572,1
11919,1
18834,1
17814,1
18070,1
17815,1
17816,1
11931,1
17307,1
18587,1
17308,1
18849,1
20658,1
18611,1
18869,1
18614,1
20662,1
18615,1
19897,1
17851,1
18107,1
19900,1
10943,1
19905,1
19652,1
15045,1
19663,1
18389,1
14553,1
14555,1
18400,1
18656,1
19940,1
18411,1
10477,1
12270,1
10483,1
11763,1
12275,1
10487,1
