time,e16x30SspGyrB_00,e16x30SspGyrB_01,e16x30SspGyrB_02,e16x30SspGyrB_03,e16x30SspGyrB_04,e16x30SspGyrB_05,e32x33NrdJ1_00,e32x33NrdJ1_01,e32x33NrdJ1_02,e32x33NrdJ1_03,e32x33NrdJ1_04,e32x33NrdJ1_05,e16x30SspGyrB_10,e16x30SspGyrB_11,e16x30SspGyrB_12,e16x30SspGyrB_13,e16x30SspGyrB_14,e16x30SspGyrB_15,e32x33NrdJ1_10,e32x33NrdJ1_11,e32x33NrdJ1_12,e32x33NrdJ1_13,e32x33NrdJ1_14,e32x33NrdJ1_15,e16x30SspGyrB_20,e16x30SspGyrB_21,e16x30SspGyrB_22,e16x30SspGyrB_23,e16x30SspGyrB_24,e16x30SspGyrB_25,e32x33NrdJ1_20,e32x33NrdJ1_21,e32x33NrdJ1_22,e32x33NrdJ1_23,e32x33NrdJ1_24,e32x33NrdJ1_25,e16x30SspGyrB_30,e16x30SspGyrB_31,e16x30SspGyrB_32,e16x30SspGyrB_33,e16x30SspGyrB_34,e16x30SspGyrB_35,e32x33NrdJ1_30,e32x33NrdJ1_31,e32x33NrdJ1_32,e32x33NrdJ1_33,e32x33NrdJ1_34,e32x33NrdJ1_35,e16x30SspGyrB_40,e16x30SspGyrB_41,e16x30SspGyrB_42,e16x30SspGyrB_43,e16x30SspGyrB_44,e16x30SspGyrB_45,e32x33NrdJ1_40,e32x33NrdJ1_41,e32x33NrdJ1_42,e32x33NrdJ1_43,e32x33NrdJ1_44,e32x33NrdJ1_45,e16x30SspGyrB_50,e16x30SspGyrB_51,e16x30SspGyrB_52,e16x30SspGyrB_53,e16x30SspGyrB_54,e16x30SspGyrB_55,e32x33NrdJ1_50,e32x33NrdJ1_51,e32x33NrdJ1_52,e32x33NrdJ1_53,e32x33NrdJ1_54,e32x33NrdJ1_55,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
400,471.5,464.5,445.5,435.5,429.5,416.5,442.5,446.5,449.5,450.5,453.5,464.5,459.5,631.5,619.5,636.5,727.5,776.5,447.5,785.5,988.5,1077.5,1127.5,1182.5,450.5,1048.5,2577.5,3546.5,3915.5,4099.5,493.5,2163.5,3229.5,3330.5,4130.5,3915.5,458.5,2313.5,5900.5,8761.5,9290.5,10239.5,537.5,3745.5,6870.5,8569.5,9596.5,10450.5,448.5,2390.5,5979.5,9207.5,10003.5,11162.5,536.5,3641.5,7345.5,8742.5,9964.5,10134.5,485.5,4461.5,10902.5,15212.5,16684.5,18335.5,579.5,5799.5,13652.5,17403.5,22590.5,26049.5,,,391.5,383.5,,,454,468,10473,14564
420,512,498,490,485,468,457,480,478,493,496,500,508,512,679,663,691,779,834,490,838,1035,1130,1181,1251,493,1115,2701,3758,4189,4347,539,2223,3308,3445,4320,4051,495,2451,6361,9575,10020,11198,579,3843,7024,8759,9851,10708,493,2551,6429,10054,10916,12264,575,3682,7462,8917,10224,10349,527,4818,11902,17045,18732,20476,614,5836,13822,17629,23001,26672,,,426,417,,,481.5,496.5,11028.5,15120.5
440,540,535,525,509,501,497,517,517,521,525,529,550,535,713,714,744,824,866,530,876,1087,1172,1230,1296,532,1156,2798,3899,4370,4571,568,2243,3354,3496,4395,4154,534,2540,6645,10163,10688,11973,611,3855,7069,8895,10023,10929,527,2646,6716,10737,11597,13199,602,3726,7504,8985,10441,10553,555,5074,12697,18384,20244,22589,652,5836,13876,17842,23477,27201,,,444,438,,,516,520,11581,15358
460,567,569,545,533,528,516,537,541,539,570,562,578,567,735,734,766,854,901,551,911,1110,1221,1262,1323,560,1188,2854,3980,4508,4709,601,2279,3365,3553,4458,4241,562,2599,6883,10610,11212,12641,634,3864,7082,8958,10118,11105,565,2704,6911,11165,12154,13871,633,3745,7488,9091,10532,10721,589,5245,13285,19608,21696,24239,671,5818,13845,17805,23517,27554,,,470,454,,,540.5,545.5,11999.5,15664.5
480,597.5,585.5,566.5,560.5,556.5,544.5,571.5,572.5,582.5,581.5,590.5,595.5,593.5,771.5,779.5,795.5,880.5,932.5,586.5,917.5,1138.5,1247.5,1286.5,1361.5,588.5,1215.5,2876.5,4016.5,4557.5,4737.5,623.5,2295.5,3395.5,3600.5,4519.5,4290.5,589.5,2629.5,7018.5,10892.5,11465.5,12966.5,655.5,3894.5,7146.5,8972.5,10241.5,11150.5,594.5,2748.5,7054.5,11430.5,12502.5,14263.5,648.5,3741.5,7499.5,9059.5,10640.5,10753.5,614.5,5402.5,13839.5,20605.5,22840.5,25640.5,699.5,5859.5,13800.5,17884.5,23664.5,27546.5,,,492.5,473.5,,,555,565,12354,16056
500,622.5,605.5,591.5,587.5,578.5,564.5,587.5,598.5,597.5,616.5,618.5,636.5,629.5,801.5,799.5,815.5,908.5,949.5,605.5,946.5,1167.5,1254.5,1322.5,1388.5,621.5,1228.5,2880.5,4008.5,4545.5,4744.5,648.5,2312.5,3402.5,3596.5,4522.5,4323.5,625.5,2647.5,7051.5,10983.5,11580.5,13100.5,685.5,3876.5,7066.5,8842.5,10247.5,11161.5,620.5,2787.5,7066.5,11589.5,12667.5,14448.5,680.5,3748.5,7451.5,9047.5,10711.5,10802.5,640.5,5505.5,14156.5,21167.5,23391.5,26271.5,714.5,5804.5,13706.5,17717.5,23714.5,27649.5,,,502.5,494.5,,,580.5,580.5,12718.5,16328.5
520,641.5,633.5,619.5,612.5,612.5,591.5,609.5,619.5,626.5,637.5,645.5,667.5,648.5,806.5,822.5,841.5,931.5,970.5,626.5,976.5,1188.5,1280.5,1331.5,1408.5,640.5,1261.5,2887.5,4008.5,4561.5,4751.5,676.5,2329.5,3418.5,3576.5,4531.5,4345.5,637.5,2686.5,7038.5,11062.5,11681.5,13288.5,705.5,3913.5,7065.5,8849.5,10274.5,11143.5,644.5,2835.5,7121.5,11642.5,12792.5,14604.5,709.5,3720.5,7440.5,9017.5,10726.5,10827.5,669.5,5546.5,14282.5,21514.5,23953.5,26872.5,730.5,5872.5,13698.5,17799.5,23847.5,27613.5,,,530.5,522.5,,,602.5,606.5,13145.5,16647.5
540,650,640,633,627,628,613,638,630,644,657,661,683,669,838,836,868,941,996,656,995,1202,1291,1359,1430,665,1273,2928,4036,4584,4786,685,2329,3421,3606,4537,4377,658,2695,7063,11178,11766,13441,717,3883,7059,8862,10328,11192,661,2853,7166,11736,12872,14833,714,3760,7425,8961,10754,10780,695,5623,14431,21959,24390,27517,755,5842,13610,17638,23822,27561,,,538,533,,,614.5,618.5,13531.5,16762.5
560,677,656,653,649,647,633,649,648,651,676,678,705,687,855,858,886,965,1019,659,998,1222,1317,1363,1449,683,1279,2943,4061,4624,4803,709,2342,3430,3595,4563,4409,681,2713,7105,11255,11850,13587,734,3872,7023,8836,10307,11148,685,2874,7188,11802,12916,14903,734,3740,7397,8942,10794,10814,711,5629,14471,22264,24812,27957,756,5769,13457,17630,23872,27491,,,553,545,,,635,636,13837,17018
580,686,672,659,662,658,647,664,666,677,691,692,716,698,857,873,897,984,1025,675,1013,1231,1320,1390,1466,705,1296,2922,4038,4605,4786,721,2361,3415,3604,4561,4436,692,2717,7054,11179,11855,13592,753,3899,7005,8806,10363,11199,700,2843,7143,11823,12977,15052,738,3761,7370,8904,10904,10821,728,5656,14493,22394,25156,28523,786,5769,13415,17575,23900,27179,,,571,557,,,648.5,639.5,14175.5,17017.5
