motif,coefficient
pme_0_50,0.000730476940031135
pme_0_1350,0.0007286864117586382
distance,0.000727119343214882
pme_1_1196,0.0007239279128320968
pme_0_300,0.0007235581762394104
pme_0_250,0.0007210442539684546
pme_1_1445,0.0007203427620805004
pme_0_1200,0.0007191827251288447
pme_0_1144,0.0007189189148786719
pme_0_1188,0.00071816772558897
pme_1_1401,0.0007150905382171525
pme_0_1391,0.0007140012516691301
pme_1_1448,0.0007126993400630336
pme_1_2000,0.0007120450836650962
pme_1_1346,0.0007091372231775607
pme_0_1600,0.0007068798412995979
pme_0_2050,0.0007065496853930357
pme_0_1700,0.0007044185908164195
pme_0_1300,0.0007013641960672027
pme_0_900,0.000693238310388615
pme_1_1593,0.0006929798545119609
mpe_1_38,0.0006765137935558993
pme_1_1295,0.000675272559691437
pme_0_344,0.0006747254793256788
pme_0_1850,0.0006738071882562504
pme_0_691,0.0006735747898814115
pme_1_2100,0.0006731679067040912
pme_1_1055,0.0006691276581690927
pme_0_2296,0.0006683889523117613
pme_1_700,0.000668002588446193
pme_0_2150,0.0006670619479430258
pme_1_1443,0.0006670257862031013
pme_1_904,0.0006655772150459443
pme_1_1750,0.0006647127640364214
pme_0_360,0.0006643443651521735
pme_1_1352,0.0006626478803135105
pme_0_492,0.0006555634777992247
pme_0_1250,0.0006540631524463336
pme_1_739,0.0006517343106578646
pme_0_856,0.000647405090194839
pme_1_655,0.0006452884394593695
pme_1_1850,0.0006436154806883654
pme_1_1909,0.0006432118010276075
pme_0_2308,0.0006423695297802245
pme_1_246,0.0006382795225575657
pme_0_814,0.0006356284580158447
mfe_structure_1_left_bracket,0.0006340161950372637
pme_1_2250,0.0006282264168468199
pme_0_450,0.0006257519241901672
pme_0_200,0.000625053335009685
pme_1_490,0.0006228471425675239
pme_1_1150,0.0006218769892343339
pme_1_506,0.0006205954644225207
pme_0_1900,0.0006194015715244309
pme_1_837,0.0006171855409962273
pme_1_1700,0.000615379356775024
pme_1_0,0.0006141349578730909
pme_1_1161,0.0006012421621143894
pme_0_2357,0.0005984406910317542
pme_0_2054,0.0005978012094139793
pme_1_440,0.0005960881754068991
pme_0_1008,0.0005941249022723618
pme_1_205,0.0005940804124061952
pme_0_763,0.0005927815096668462
pme_0_159,0.0005897665881066503
pme_1_42,0.0005883514589872981
pme_0_1445,0.0005745726929931948
pme_0_293,0.0005733659656336602
pme_0_850,0.0005715912936249491
pme_0_108,0.0005623393174503688
pme_0_1154,0.0005599449466680023
pme_0_2250,0.0005570811296900075
pme_0_644,0.000549344518213923
pme_0_995,0.0005429999159287431
mfe_structure_0_dot,0.0005411278417756597
struct_proba_1,0.0005330752326081446
pme_1_2365,0.0005329197358815599
pme_0_1904,0.0005319413909963678
pme_0_2362,0.0005308892879980735
pme_0_1193,0.00052952164818966
pme_0_42,0.0005184598634532713
pme_1_1589,0.000517443141500434
pme_1_2353,0.0005158003357429547
pme_0_400,0.0005132670325885667
pme_0_2292,0.0005119229314528955
pme_0_1243,0.000509541335341875
pme_0_0,0.0005039485278110706
pme_0_2300,0.0005032680598960842
pme_0_1750,0.0005030747311366171
pme_1_2212,0.0005021013906349716
pme_0_105,0.00050056541551553
pme_0_1352,0.0004942761116746533
pme_0_290,0.0004924052194191302
pme_1_2155,0.0004894586320700587
pme_1_2359,0.0004879895861769839
pme_1_296,0.0004819510059508001
pme_0_722,0.0004816510493079836
gc5,0.0004816319175347774
pme_1_400,0.0004791047658017434
pme_0_306,0.0004759188999646544
pme_0_1614,0.00047257228888526016
pme_0_7,0.0004707650675384886
pme_1_1100,0.0004706309542652565
pme_0_594,0.00047023327896621365
pme_0_700,0.00046899763850922414
pme_1_794,0.0004683859775965439
pme_1_725,0.00046816001683839094
pme_1_2346,0.0004666036540547687
pme_0_807,0.00046537361668392614
pme_0_1964,0.0004642755289136074
pme_0_1590,0.00046327743650091663
pme_1_959,0.00046318636771637686
mfe_stack_energy_1,0.0004622519010689702
pme_0_2306,0.0004619860779280779
pme_0_1687,0.0004610989760258423
pme_0_1489,0.0004607907938254353
pme_1_1494,0.000455744388408893
pme_0_346,0.0004540454475403727
pme_0_440,0.00044919346490025004
pme_1_2362,0.00044727874935020733
pme_1_2357,0.00044646734816182395
pme_1_354,0.0004434826310937335
pme_0_1060,0.00044317920359167117
pme_0_994,0.0004424547180487852
pme_1_288,0.0004421967173578473
