time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med_1,gfp_med_2,gfp_low_1,gfp_low_2
200,107.8288,93.89292,94.33046,75.67711999999999,89.47263000000001,215.49044000000004,155.28102,39.44714,191.67075,88.2432,72.43666,104.24128,86.79211,73.37472000000001,54.375750000000004,68.71291000000001,120.82145,323.29512,1200.30816,3029.00631,6343.607819999999,1715.72867,317.66819000000004,225.50215,638.7096300000001,341.16749999999996,26.1612,19.16504,38.9536,25.111680000000003,32.08664,38.4659,11.685679999999998,32.73083999999999,36.27698,58.46000000000001,914.12739,38.82823,750.20994,352.4925,1253.73096,1259.98761,413.94455999999997,1930.18125,2529.31644,60.90777,280.9323,290.00504,71.87536,522.8055,313.57935999999995,253.73601000000002,63.055679999999995,133.21232,106.62624,23.268,523.00316,100.95111,191.81436,88.45044,19.758,-15.078959999999999,11.77183,44.4906,33.63897,33.03464,108.79261999999999,79.19802,81.51226000000001,129.96336,-6.79024,343.89453,38.09701,11.386120000000002,181.21885,-19.683840000000004,5.43312,25.36686,12.70738,26.802599999999998,1.30005,8.09251,-11.96972,40.625550000000004,51.33951,63.600229999999996,49.5731,20669.488000000005,23500.0864,8070.4208,9153.38142
220,123.68603000000002,94.52951999999999,115.70405000000001,55.97384,71.46171,617.1201,462.43344,68.7474,390.7838,95.60323,142.38802,111.09258000000001,106.12602,93.8115,38.11944,84.39344,220.11746,800.40879,2719.44672,8426.3326,13982.146200000001,4254.1199,1062.2703000000001,398.9344,2414.48823,1249.41454,13.5894,35.181599999999996,-0.6944,3.198,35.120639999999995,27.51435,-10.90752,77.97088,124.97400000000002,96.88376000000001,3052.4152,654.0760799999999,2852.71152,730.1932,4195.42656,3185.0477499999997,2294.4189499999998,4894.81683,4854.14874,41.87304,1090.92348,705.5658999999999,79.07710999999999,2004.20078,728.3118,667.611,766.26776,378.75260000000003,577.52487,168.96033,1576.12455,186.58192,577.0485,77.88788,32.04058,35.812000000000005,56.43055,49.504400000000004,292.60865,86.49795,548.91996,955.3542000000001,2171.0714299999995,1194.2998400000001,266.45616,1109.724,104.8173,129.67079999999999,945.5260100000002,18.2252,40.39893,89.74900000000001,-21.3962,87.80408000000001,273.6615,-14.09589,-13.766880000000002,62.29493,77.0064,42.890280000000004,60.681169999999995,27080.52074,30592.384800000003,11319.2412,12928.101059999999
240,216.61617,250.21227,316.99494,144.61423,174.16083,1370.24428,1092.8445000000002,149.01744000000002,799.512,143.10063,481.04496000000006,130.17216,192.90875,291.88266,60.45156,110.3145,403.49392,1639.42184,4214.0407700000005,16736.235819999998,23197.119400000003,8170.343540000001,2178.0541000000003,589.4512,5509.40416,2414.0780999999997,105.9003,106.69461,52.18884,150.32907,324.54432,97.99839,39.661049999999996,329.71211999999997,374.20575,296.89119,6117.4796,1559.37862,5367.78927,1225.19298,7761.8902,5346.45198,4559.2611,8481.33315,7478.05972,97.68375,2433.6116,1472.86073,276.44032,4002.74184,1281.0259899999999,1181.23608,1949.60848,745.79068,1500.19695,483.27912000000003,2946.20205,378.73072,1076.52564,164.23725,81.05134000000001,108.67596,93.96507000000001,260.81559,1080.88676,386.44389,1088.67099,3188.8155,5419.90097,3038.93996,1095.5976899999998,2255.2014999999997,741.1567499999999,602.0767999999999,2310.0547800000004,88.07039999999999,184.37133,476.81524,-32.433440000000004,494.53612,922.3707800000001,-29.575559999999996,33.438750000000006,90.73622,151.59900999999996,102.3204,109.04184,34807.81721,39821.86881,16036.848810000001,18464.4872
260,400.33334,433.36355999999995,618.4817400000001,173.05518999999998,293.2398,2565.71284,2157.0235199999997,284.81394,1419.1724399999998,225.53832,1054.41963,174.34032,403.31145999999995,583.68762,175.12976,237.43286999999998,618.47052,2581.68026,6139.1711,26344.002969999998,34495.09992,12778.139099999999,3327.21956,856.72855,8890.892399999999,3915.2312999999995,252.84333999999998,222.56511999999998,94.44838,391.28880000000004,947.9925000000001,183.49656000000002,90.37174999999999,766.24777,932.2896300000001,604.57068,9886.2786,2933.1483399999997,8220.6285,1992.4832800000001,12033.484,8300.81868,7229.58068,12390.273000000001,10599.37095,153.53367000000003,3828.9768000000004,2241.4548,551.12748,6752.51332,1965.1163,1861.0792200000003,3648.10626,1228.3944999999999,2754.9287999999997,865.43756,4581.81614,596.85,1644.76984,237.38963999999999,89.93248000000001,260.23536,180.04755000000003,506.59319999999997,2363.44702,809.4934800000001,1815.50472,5580.5652,9503.24544,4930.70885,2115.31756,3489.9812399999996,1565.3344,1267.80455,3846.8741999999997,441.73635999999993,425.29956,861.1681000000001,25.2197,1070.76441,1544.8947300000002,18.83947,43.378640000000004,159.965,211.68555,165.83762000000002,143.24046,48008.722350000004,55035.95100000001,21350.50253,23033.774279999998
280,438.741,579.5164000000001,1045.6239,150.53766,348.68405,4178.49138,3516.9953,381.24415999999997,1994.9349,208.929,1794.2023199999999,259.39823,686.52822,913.82377,130.15408,302.1568,740.8764,3382.6682399999995,8774.7202,37872.84788,48677.893840000004,18851.58324,4813.536,1185.45984,12965.58055,6245.576799999999,274.17983999999996,269.33040000000005,41.759519999999995,566.7545100000001,1607.8819,231.73193999999998,75.33505000000001,1366.9564,1619.2719,976.0617500000001,14837.979000000001,4210.51572,11657.36853,2956.7000399999997,17222.8216,12110.3112,10204.75182,17316.83929,14661.837210000002,135.39456,5462.4123500000005,3125.31526,676.0222200000001,10346.49858,2955.8628,2854.05287,5362.839790000001,1767.7178999999999,4421.2069200000005,1190.39544,6905.4057999999995,790.63776,2315.1366,227.27496000000002,44.03718,281.28048,194.74204,768.7332,4179.205199999999,1246.57617,2669.69133,8042.30502,13939.928800000002,7032.131780000001,2960.5853599999996,4741.902880000001,2409.6664,1823.6534399999998,5597.7094799999995,917.92745,606.9375200000001,1160.237,7.842890000000001,1616.06067,2399.1875999999997,-9.5904,-9.21416,152.15068,200.21008,98.78681999999999,93.69142000000001,64759.426340000005,73422.2944,24773.869169999998,26343.48936
300,651.4020800000001,768.7736000000001,1491.255,147.11697,424.80921,5525.688,4719.041300000001,521.20371,2583.43758,142.28736,2469.38096,248.04234,957.5432999999999,1264.24222,154.0596,389.21064,978.8615199999999,4075.36974,11395.4544,53501.653080000004,64557.77468,26419.314180000005,6587.60172,1365.0443500000001,18507.115410000002,8417.4075,379.42034,359.30737,23.3519,796.7932000000001,2466.3693599999997,295.074,120.85864000000001,1993.4755499999999,2189.73395,1256.66288,22133.10804,5781.73952,16277.08378,4132.5317700000005,24254.102190000005,16855.54431,14326.77703,23599.08823,19015.0548,143.45376,7511.549080000001,4482.82692,982.488,15269.0913,4628.72214,4512.86496,7306.488259999999,2584.08178,6474.26736,1720.3052799999998,9189.716970000001,912.9119999999999,2938.8288,271.40288000000004,99.54528,418.68980999999997,227.85299999999998,1155.3302,6303.12624,1878.7305600000002,3991.7394,11531.772420000001,19435.9959,9968.305919999999,4007.7616000000003,6642.21228,3578.25432,2610.13446,7972.69284,1436.61356,823.19952,1627.06306,-60.54764,2315.57333,3725.6589199999994,-46.809839999999994,45.75144,152.09348,272.2832,119.48957999999999,127.79098,87566.1024,99470.68950000001,27470.062899999997,29168.245219999997
320,951.0535199999999,1042.4827999999998,2053.57694,217.93778999999998,597.7291499999999,6827.16727,5828.819619999999,718.6244399999999,2982.60375,255.12177,2911.08576,314.69424000000004,1264.4662199999998,1495.87078,166.46793000000002,470.6431999999999,1200.06672,4963.01715,12026.836800000001,67320.78591,74632.94112,31028.29508,7782.657209999999,1483.7474399999999,23178.12544,9172.359779999999,497.15512,509.45093999999995,30.20875,1053.1499999999999,3194.78919,413.57749,157.36583,2367.83684,2511.1824,1613.50908,28847.641199999995,7889.537,20873.51707,4598.937849999999,30407.915160000004,20486.003,19321.55406,29886.324000000004,21650.661269999997,157.22784000000001,9942.694,6220.94854,1304.8308,20281.67966,6278.856229999999,6274.50586,9495.90772,3267.59892,8185.49375,2176.961,11176.255159999999,1085.37715,3562.24689,371.30575,174.30828,499.79335000000003,251.25268,1591.92032,8161.39148,2803.1616200000003,5143.95095,15502.3176,26856.79076,13532.67486,5483.0818,8697.21336,5429.7864,3811.76095,10204.39679,1999.22866,1212.63849,2216.57436,-66.68606,3519.82344,5305.67296,-47.53571,26.877,229.34658,294.96467,162.37375,135.63352,115972.1641,130275.98254,30268.017000000003,31692.2604
340,1403.01312,1346.93056,2517.05125,348.24766,867.39256,7778.7045,6572.902599999999,1021.6935799999999,3224.94718,325.32671999999997,3153.40674,307.16708,1506.03261,1681.49448,255.4227,558.9012,1438.1604599999998,5869.63946,11840.27364,76158.15508,79130.1544,34340.26563,8477.51512,1507.11708,25894.58508,9098.5736,641.11374,597.198,67.86108,1408.259,3963.6519999999996,527.69535,217.158,2657.06436,2574.02763,1786.54887,32418.215760000003,10318.024000000001,23377.4148,4668.5244,33896.924459999995,22356.612849999998,22819.605900000002,33849.141339999995,23384.06525,250.27363999999997,12061.00404,7547.06704,1594.3043900000002,24545.0655,7244.0028,7217.355749999999,12206.1334,3616.2543600000004,9515.56828,2628.60912,12643.487799999999,1275.4781699999999,4012.8488399999997,445.24258000000003,279.36125,614.5803999999999,385.40416,1959.7617,9666.322199999999,3663.1054,5617.35219,18088.38036,33619.43004000001,16203.25656,6866.660580000001,10667.5514,7694.84175,4965.9256000000005,11899.6649,2769.4988999999996,1686.9251199999997,2734.1832,-106.00200000000001,5011.84068,6454.713,-73.90506,38.85987,250.67777999999998,350.08146,255.24752,182.0156,149836.39245,170163.88557,32585.97195,34111.20398
360,1774.5134400000002,1633.85336,2846.43238,460.2376,1099.7541,8473.92291,7188.44902,1227.7179,3464.68307,358.10880000000003,3343.95884,335.65048,1638.12024,1758.5925,397.75114,622.85937,1541.24316,6402.75889,11993.879820000002,79293.14718,78919.14688,35988.6312,8633.67012,1561.7160000000001,26097.825600000004,9168.5848,724.023,645.2035,107.60796,1657.2959700000001,4703.22476,564.94672,321.60588,2845.38816,2626.68885,1946.79045,32263.285740000003,12891.25152,25054.225000000002,4740.976100000001,34821.4361,22038.056999999997,25106.69706,36497.691900000005,23516.2023,297.39912,13661.79444,7777.855299999999,1808.26314,27553.4448,7463.53974,7436.52448,14840.919979999999,3669.5837500000002,10260.35154,2900.84376,13414.23405,1404.61295,4287.078399999999,453.73944,302.32430999999997,784.5087599999999,524.85969,2190.68956,10538.87554,4214.6197,5764.37086,20415.36032,37872.903309999994,18137.38509,7859.60384,12234.653499999999,9097.13565,6233.91648,12491.57332,4123.3148,2136.7237499999997,3042.27056,-38.908339999999995,6635.8915,6905.38232,-51.563719999999996,64.99985,320.79485,353.07456,320.35488000000004,196.33829,195968.58704,214211.04084,34954.512800000004,36480.087909999995
380,2225.2434000000003,1826.07768,3166.3280400000003,514.6485,1220.5014999999999,9279.020919999999,7934.831099999999,1407.141,3721.7577,379.31808,3468.6962000000003,360.76986,1762.53506,1858.6195699999998,513.5443200000001,667.1402800000001,1655.4032000000002,6678.523270000001,11953.75104,80756.32110000002,81336.87615000001,37790.08727999999,9043.18974,1593.28576,26385.94938,9118.591919999999,804.7701200000001,667.97628,87.4851,1939.9107600000002,5453.2935800000005,607.0929,322.78256999999996,2970.5805,2673.0962999999997,2070.8029,32286.474000000002,13973.32272,25048.67736,4826.044620000001,34818.1884,22507.336799999997,25548.67872,36305.8338,23835.868,281.31012,14147.469839999998,7705.602,1783.6992,28103.72238,7620.314000000001,7571.39616,17921.249610000003,3628.81142,10854.37584,3192.3069,14531.968200000001,1500.8795400000001,4629.424,485.21961,291.87781,853.49718,508.49206,2257.54656,11241.03475,4487.765700000001,5868.99027,21641.33439,39759.72176,18900.09132,8403.7668,13820.545320000001,9456.193159999999,6971.3924,13134.58151,5303.05914,2515.2225900000003,3066.8136799999997,26.961000000000002,7728.85008,7194.8252,2.00166,97.19430000000001,336.91346,397.69519999999994,359.784,167.2545,232736.47826,244294.73334,37128.15609,38514.26578
