Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
B07,Sample X19,A,1.38,1.384,1.388,4531,4591,4586,2365,2377,2398,1149,1156,1155
B08,Sample X20,A,1.324,1.34,1.342,4881,4916,4931,2513,2540,2555,1227,1236,1248
B09,Sample X21,A,1.28,1.308,1.306,4987,5049,5062,2595,2616,2635,1252,1265,1279
B10,Sample X22,A,1.257,1.287,1.281,4989,5008,5034,2583,2610,2611,1246,1264,1275
B11,Sample X23,A,1.243,1.255,1.257,5299,5372,5406,2759,2774,2807,1334,1345,1358
B12,Sample X24,A,1.168,1.182,1.184,5165,5193,5169,2664,2688,2707,1302,1306,1306
C01,Sample X25,A,1.329,1.336,1.344,4891,4896,4949,2537,2547,2555,1236,1239,1247
C02,Sample X26,A,1.308,1.303,1.313,28076,28357,28973,14445,14694,14966,6958,7109,7223
C03,Sample X27,A,1.289,1.293,1.283,43374,44317,44949,22521,22909,23328,10841,11096,11288
C04,Sample X28,A,1.28,1.273,1.272,52760,53907,54557,27384,27738,28191,13219,13478,13688
C05,Sample X29,A,1.231,1.223,1.222,53805,54633,55343,27809,28224,28747,13448,13658,13897
C06,Sample X30,A,1.212,1.212,1.213,57248,58194,59289,29693,30183,30763,14336,14588,14848
C07,Sample X31,A,1.415,1.395,1.399,4527,4575,4590,2360,2362,2370,1143,1152,1148
C08,Sample X32,A,1.36,1.342,1.339,5849,5935,5976,3045,3068,3084,1477,1487,1507
C09,Sample X33,A,1.315,1.308,1.308,7578,7725,7757,3921,3969,4022,1895,1939,1946
C10,Sample X34,A,1.271,1.273,1.274,8102,8264,8373,4237,4274,4327,2040,2076,2107
C11,Sample X35,A,1.274,1.384,1.4,9493,9732,9767,4894,5004,5050,2381,2421,2447
C12,Sample X36,A,1.127,1.148,1.143,9889,9916,10103,5094,5152,5194,2472,2493,2526
D01,Sample X37,A,1.44,1.453,1.446,5267,5283,5314,2743,2737,2739,1327,1328,1329
D02,Sample X38,A,1.443,1.436,1.432,47523,48339,48895,24548,24973,25412,11912,12102,12290
D03,Sample X39,A,1.454,1.454,1.45,83428,84943,86108,43420,43939,44644,20956,21291,21571
D04,Sample X40,A,1.458,1.445,1.46,105161,106317,107869,54514,55153,55944,26399,26732,27146
D05,Sample X41,A,1.425,1.402,1.418,108046,110240,111576,56402,57253,57918,27331,27731,28070
D06,Sample X42,A,1.413,1.374,1.384,116298,117919,119259,60350,60956,61858,29247,29723,29992
D07,Sample X43,A,1.399,1.36,1.364,4458,4500,4505,2321,2323,2352,1127,1129,1139
D08,Sample X44,A,1.351,1.33,1.332,6463,6569,6604,3353,3382,3430,1631,1646,1667
D09,Sample X45,A,1.339,1.327,1.338,9028,9117,9323,4681,4736,4815,2272,2318,2327
D10,Sample X46,A,1.29,1.27,1.288,10814,10963,11190,5621,5712,5770,2709,2767,2795
D11,Sample X47,A,1.201,1.244,1.254,12790,12985,13219,6626,6727,6802,3193,3264,3313
D12,Sample X48,A,1.098,1.128,1.122,13449,13519,13748,6914,7014,7060,3354,3408,3417
E01,Sample X49,A,1.391,1.386,1.379,5086,5075,5100,2620,2625,2634,1284,1284,1278
E02,Sample X50,A,1.405,1.388,1.391,39499,40273,40649,20467,20783,21005,9884,10075,10219
E03,Sample X51,A,1.392,1.387,1.382,68958,69980,70879,35765,36317,36734,17326,17581,17850
E04,Sample X52,A,1.39,1.386,1.366,92034,93202,94437,47650,48356,49024,23124,23533,23718
E05,Sample X53,A,1.366,1.356,1.348,98499,99896,100995,51017,51900,52371,24843,25098,25504
E06,Sample X54,A,1.35,1.34,1.341,103776,105251,106554,54053,54654,55156,26221,26555,26876
E07,Sample X55,A,1.502,1.493,1.485,4698,4715,4763,2435,2455,2458,1192,1194,1192
E08,Sample X56,A,1.461,1.464,1.465,6986,7067,7054,3611,3639,3677,1763,1782,1772
E09,Sample X57,A,1.445,1.462,1.456,10340,10464,10556,5373,5413,5465,2608,2625,2645
E10,Sample X58,A,1.4,1.409,1.412,13677,13771,13906,7041,7136,7220,3411,3477,3488
E11,Sample X59,A,1.324,1.371,1.372,15514,15642,15928,7992,8172,8242,3878,3957,3998
E12,Sample X60,A,1.229,1.227,1.225,16260,16292,16512,8425,8462,8517,4053,4076,4114
F01,Sample X61,A,1.452,1.447,1.427,5295,5300,5316,2748,2757,2751,1330,1321,1334
F02,Sample X62,A,1.467,1.474,1.449,44304,44817,45254,22942,23228,23384,11090,11173,11297
F03,Sample X63,A,1.437,1.439,1.41,83636,84110,85576,43476,43624,44245,21049,21183,21345
F04,Sample X64,A,1.427,1.438,1.422,113121,113776,115506,58599,58974,60010,28542,28623,29080
F05,Sample X65,A,1.405,1.477,1.454,115916,116793,117940,60151,60452,61453,29240,29404,29665
F06,Sample X66,A,1.394,1.379,1.365,126813,127615,129260,65900,66518,67128,31950,32295,32470
F07,Sample X67,A,1.602,1.593,1.561,5014,5030,5046,2606,2604,2620,1270,1278,1271
F08,Sample X68,A,1.587,1.572,1.55,7909,7916,7959,4095,4084,4113,1992,1996,1999
F09,Sample X69,A,1.539,1.53,1.494,12104,12170,12109,6280,6282,6343,3038,3044,3051
F10,Sample X70,A,1.506,1.496,1.482,16556,16608,16731,8552,8618,8659,4135,4149,4193
F11,Sample X71,A,1.471,1.444,1.449,20310,20403,20659,10415,10552,10635,5051,5130,5132
F12,Sample X72,A,1.329,1.329,1.319,21271,21095,21276,10999,10996,11020,5305,5314,5337
H03,Blank B,A,0.054,0.05,0.053,2591,2540,2546,1341,1328,1312,649,646,641
H04,Blank B,A,0.049,0.048,0.049,2529,2530,2530,1323,1309,1317,646,646,640
H05,Negative control N,A,1.776,1.789,1.803,4806,4799,4791,2515,2498,2491,1213,1207,1204
H06,Negative control N,A,1.759,1.788,1.782,4774,4768,4728,2462,2463,2465,1204,1201,1201
H07,Blank B,B,0.051,0.05,0.05,2507,2490,2509,1310,1290,1303,637,638,636
H08,Blank B,B,0.05,0.048,0.05,2465,2461,2447,1289,1270,1276,623,619,616
H09,Negative control N,B,1.869,1.855,1.9,5425,5427,5375,2832,2804,2815,1374,1366,1356
H10,Negative control N,B,1.744,1.75,1.799,5119,5094,5128,2659,2640,2655,1292,1283,1290
H11,Positive control P,B,1.826,1.843,1.848,95078,94509,93708,49450,49149,48764,23992,23878,23618
H12,Positive control P,B,1.448,1.412,1.434,71197,70263,70302,37160,36562,36257,18028,17596,17636
