Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
E08,Sample X56,A,1.33,1.307,1.321,7171,7384,7536,3708,3795,3897,1788,1851,1893
E09,Sample X57,A,1.321,1.294,1.305,12140,12617,13011,6274,6507,6691,3023,3136,3230
E10,Sample X58,A,1.262,1.246,1.248,16772,17510,18009,8646,9035,9292,4173,4354,4465
E11,Sample X59,A,1.245,1.245,1.233,20281,21095,21666,10489,10856,11209,5029,5261,5422
E12,Sample X60,A,1.188,1.204,1.215,22077,23038,23687,11307,11824,12206,5420,5701,5916
F01,Sample X61,A,1.447,1.43,1.419,4814,4865,4923,2486,2516,2544,1206,1225,1237
F02,Sample X62,A,1.466,1.431,1.426,35745,37074,38098,18424,19076,19694,8855,9258,9522
F03,Sample X63,A,1.414,1.402,1.382,62426,64367,66110,32050,33200,34192,15421,16112,16573
F04,Sample X64,A,1.402,1.389,1.374,78464,81293,83474,40459,42013,43231,19555,20425,20993
F05,Sample X65,A,1.362,1.352,1.333,80822,83216,85786,41590,43144,44371,20057,20854,21465
F06,Sample X66,A,1.351,1.332,1.326,87853,91276,93543,45275,47147,48381,21927,22815,23531
F07,Sample X67,A,1.444,1.416,1.415,4505,4554,4608,2331,2353,2376,1135,1148,1154
F08,Sample X68,A,1.421,1.415,1.403,7817,7989,8153,4054,4142,4214,1947,2004,2041
F09,Sample X69,A,1.4,1.397,1.38,13882,14273,14604,7142,7393,7556,3459,3566,3644
F10,Sample X70,A,1.361,1.357,1.342,19896,20481,21005,10208,10593,10791,4921,5117,5241
F11,Sample X71,A,1.343,1.331,1.335,25383,26168,26923,13009,13540,13946,6270,6531,6710
F12,Sample X72,A,1.254,1.279,1.276,27409,28458,29091,14060,14619,15044,6764,7063,7291
H03,Blank B,A,0.053,0.049,0.049,2386,2380,2389,1237,1240,1246,601,603,601
H04,Blank B,A,0.052,0.048,0.049,2391,2390,2395,1232,1245,1250,599,602,607
H05,Negative control N,A,0.052,0.048,0.048,2399,2403,2403,1233,1253,1253,601,601,613
H06,Negative control N,A,0.053,0.049,0.049,2368,2380,2373,1236,1242,1238,598,604,607
H07,Blank B,B,0.053,0.05,0.05,2415,2434,2434,1251,1263,1270,604,614,614
H08,Blank B,B,0.051,0.047,0.047,2415,2428,2424,1249,1261,1267,596,611,613
H09,Negative control N,B,0.051,0.046,0.047,2437,2443,2441,1243,1271,1276,608,613,619
H10,Negative control N,B,0.052,0.046,0.047,2421,2456,2468,1260,1267,1275,617,619,622
H11,Positive control P,B,0.051,0.046,0.046,2419,2451,2449,1247,1268,1278,614,618,614
H12,Positive control P,B,0.052,0.048,0.048,2393,2418,2414,1252,1256,1273,608,621,617
