Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
B09,Sample X21,A,1.37,1.38,1.404,22791,22901,23044,11802,11893,11949,5686,5757,5787
B10,Sample X22,A,1.294,1.337,1.331,27115,27391,27628,13976,14259,14299,6744,6839,6920
B11,Sample X23,A,1.33,1.372,1.355,26763,26937,26987,13791,13969,14024,6649,6742,6791
B12,Sample X24,A,1.269,1.298,1.302,29077,28948,29156,15044,15046,15119,7251,7263,7297
C01,Sample X25,A,1.364,1.363,1.363,12719,12717,12724,6598,6592,6610,3208,3213,3210
C02,Sample X26,A,1.32,1.333,1.334,86429,87004,88040,44895,45198,45753,21534,21899,22110
C03,Sample X27,A,1.329,1.335,1.338,133323,134379,135836,68999,69936,70680,33298,33884,34298
C04,Sample X28,A,1.276,1.284,1.287,148174,149861,152086,77253,77976,79670,37200,37790,38508
C05,Sample X29,A,1.244,1.28,1.291,165734,167731,170396,86244,87266,88806,41649,42403,43010
C06,Sample X30,A,1.271,1.268,1.279,174365,177255,179476,90950,92109,93521,44042,44673,45284
C07,Sample X31,A,1.495,1.488,1.483,12084,12145,12181,6293,6292,6301,3038,3048,3060
C08,Sample X32,A,1.426,1.433,1.431,59155,59725,60324,30697,31008,31374,14782,14976,15145
C09,Sample X33,A,1.382,1.411,1.396,79604,80575,81544,41178,41821,42338,19857,20186,20464
C10,Sample X34,A,1.361,1.431,1.424,87414,88518,88960,45407,46026,46489,21884,22196,22453
C11,Sample X35,A,1.292,1.399,1.409,93419,94364,95086,48520,48959,49603,23368,23657,23959
C12,Sample X36,A,1.269,1.292,1.294,112143,112111,113307,58549,58421,58977,28234,28221,28601
D01,Sample X37,A,1.347,1.317,1.348,13596,13608,13669,7026,7093,7091,3419,3422,3453
D02,Sample X38,A,1.276,1.284,1.304,126566,127830,129345,65870,66527,67394,31776,32088,32534
D03,Sample X39,A,1.277,1.297,1.291,169563,171726,174084,88468,89632,90663,42797,43416,44170
D04,Sample X40,A,1.253,1.269,1.285,194200,195014,198339,101131,102426,103759,48878,49638,50335
D05,Sample X41,A,1.242,1.24,1.257,204497,207061,210134,106747,108244,109864,51624,52468,53207
D06,Sample X42,A,1.231,1.241,1.24,207174,209571,212579,108395,109771,111216,52564,53219,53885
D07,Sample X43,A,1.451,1.46,1.452,12022,12030,12054,6200,6168,6235,3018,3023,3018
D08,Sample X44,A,1.386,1.419,1.402,65155,65803,66755,33753,34199,34536,16341,16546,16813
D09,Sample X45,A,1.409,1.437,1.409,103662,105246,106499,54005,54618,55423,26069,26461,26839
D10,Sample X46,A,1.355,1.384,1.371,120433,122424,123524,62690,63476,64243,30162,30816,31284
D11,Sample X47,A,1.266,1.381,1.381,137311,138723,140155,71662,72036,73143,34460,34938,35392
D12,Sample X48,A,1.238,1.251,1.269,142474,142933,144335,74311,74118,74968,35859,35942,36351
E01,Sample X49,A,1.342,1.326,1.336,13877,13915,13942,7186,7221,7203,3496,3480,3488
E02,Sample X50,A,1.269,1.302,1.298,140883,142269,143628,73569,74013,74849,35476,35901,36299
E03,Sample X51,A,1.282,1.305,1.286,187131,188169,191491,97672,98451,99708,47316,47792,48402
E04,Sample X52,A,1.225,1.241,1.233,208479,210497,213874,108912,110203,111746,52952,53441,54243
E05,Sample X53,A,1.232,1.231,1.242,227189,228490,232195,119233,119724,121515,57849,58018,59114
E06,Sample X54,A,1.218,1.226,1.225,228615,229999,233096,119501,120947,122174,58013,58696,59496
E07,Sample X55,A,1.48,1.506,1.482,12042,12051,12106,6246,6264,6272,3034,3038,3042
E08,Sample X56,A,1.404,1.459,1.422,76680,77443,77810,39694,40092,40522,19169,19464,19637
E09,Sample X57,A,1.34,1.388,1.39,103760,104725,105787,53978,54421,55055,26015,26489,26761
E10,Sample X58,A,1.342,1.41,1.394,138048,139368,140774,71742,72511,73295,34565,35200,35750
E11,Sample X59,A,1.305,1.366,1.342,134040,135750,137722,69830,70525,71601,33789,34204,34791
E12,Sample X60,A,1.289,1.305,1.301,157684,158599,160270,82571,82389,83383,40035,40170,40518
F01,Sample X61,A,1.306,1.268,1.263,14289,14319,14309,7451,7424,7431,3598,3590,3601
F02,Sample X62,A,1.238,1.224,1.213,157226,157851,159104,82124,82259,82797,39799,39898,40377
F03,Sample X63,A,1.231,1.219,1.21,189304,189481,191551,98713,98929,100107,47979,47963,48486
F04,Sample X64,A,1.223,1.211,1.204,216327,217591,218978,113281,113319,114473,55261,54960,55817
F05,Sample X65,A,1.25,1.253,1.257,230114,230166,232491,120536,120370,121442,58619,58666,59297
F06,Sample X66,A,1.207,1.206,1.205,241089,241549,243183,126216,126421,127648,61334,61592,62036
F07,Sample X67,A,1.516,1.485,1.488,12251,12281,12267,6362,6392,6389,3090,3094,3100
F08,Sample X68,A,1.454,1.431,1.428,81445,82377,82832,42446,42488,42907,20576,20685,20835
F09,Sample X69,A,1.416,1.401,1.395,120586,121122,121541,62461,62643,63209,30243,30465,30709
F10,Sample X70,A,1.407,1.391,1.386,147209,148861,149852,76813,77159,77998,37335,37595,37774
F11,Sample X71,A,1.389,1.396,1.398,160733,161135,162997,83772,83724,84756,40602,40835,41137
F12,Sample X72,A,1.343,1.308,1.327,166635,165642,166742,86866,86314,86986,42238,41896,42145
H03,Blank B,A,0.054,0.052,0.051,9125,9210,9223,4734,4765,4820,2295,2309,2317
H04,Blank B,A,0.054,0.051,0.051,9091,9209,9182,4720,4737,4752,2276,2293,2305
H05,Negative control N,A,1.564,1.57,1.577,11355,11292,11279,5907,5863,5867,2856,2838,2839
H06,Negative control N,A,1.552,1.552,1.556,11285,11313,11253,5855,5851,5841,2849,2833,2839
H07,Blank B,B,0.072,0.07,0.071,9601,9502,9425,4970,4929,4890,2428,2383,2380
H08,Blank B,B,0.075,0.073,0.073,9417,9350,9279,4923,4852,4816,2371,2360,2348
H09,Negative control N,B,1.718,1.715,1.721,10820,10703,10623,5617,5578,5543,2725,2688,2677
H10,Negative control N,B,1.774,1.774,1.77,10925,10820,10774,5659,5608,5590,2745,2729,2705
H11,Positive control P,B,1.826,1.843,1.848,95078,94509,93708,49450,49149,48764,23992,23878,23618
H12,Positive control P,B,1.448,1.412,1.434,71197,70263,70302,37160,36562,36257,18028,17596,17636
