Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
C01,Sample X25,A,1.332,1.259,1.24,13032,12913,12877,6743,6709,6693,3308,3263,3249
C02,Sample X26,A,1.355,1.268,1.22,90498,89513,89006,47002,46453,46397,22745,22624,22382
C03,Sample X27,A,1.349,1.256,1.278,133071,132625,132528,69277,68863,69042,33828,33355,33311
C04,Sample X28,A,1.323,1.255,1.244,137939,137842,138698,71878,71636,72057,35013,34627,34854
C05,Sample X29,A,1.317,1.274,1.236,153449,152729,153692,80155,79666,80034,39094,38663,38703
C06,Sample X30,A,1.245,1.212,1.19,153053,152551,153337,79898,79224,79726,38974,38491,38638
C07,Sample X31,A,1.78,1.694,1.68,11808,11753,11693,6139,6125,6073,2974,2961,2943
C08,Sample X32,A,1.706,1.623,1.627,31680,31181,31048,16474,16193,16158,7993,7843,7844
C09,Sample X33,A,1.619,1.588,1.559,46619,46265,46221,24204,24113,23939,11764,11645,11570
C10,Sample X34,A,1.572,1.523,1.501,56540,56104,55907,29262,29137,29015,14202,14038,14024
C11,Sample X35,A,1.534,1.475,1.429,63965,63095,63252,33176,32679,32822,16066,15919,15834
C12,Sample X36,A,1.419,1.275,1.346,76380,75885,75291,39726,39354,39140,19378,19090,18917
D01,Sample X37,A,1.327,1.218,1.213,14554,14401,14290,7575,7463,7445,3684,3624,3603
D02,Sample X38,A,1.351,1.281,1.226,131887,130051,129674,68782,67718,67395,33496,32859,32650
D03,Sample X39,A,1.309,1.245,1.27,178803,178687,178876,93714,93223,92866,45832,45119,45087
D04,Sample X40,A,1.293,1.219,1.236,191676,190587,191728,100251,99368,99729,48976,48225,48476
D05,Sample X41,A,1.273,1.202,1.201,197404,197255,197958,103269,102348,102890,50601,49703,50093
D06,Sample X42,A,1.262,1.208,1.199,205093,204473,206475,107875,106836,106957,52696,51915,52136
D07,Sample X43,A,1.737,1.663,1.664,11876,11830,11790,6159,6131,6093,2987,2959,2954
D08,Sample X44,A,1.657,1.606,1.591,54115,53595,53498,28128,27783,27772,13680,13508,13410
D09,Sample X45,A,1.644,1.604,1.587,84380,83646,83246,44038,43454,43210,21273,21120,20939
D10,Sample X46,A,1.566,1.533,1.507,104853,104151,104385,54609,54294,54256,26500,26299,26197
D11,Sample X47,A,1.529,1.473,1.432,133702,132961,132972,69295,68845,69427,33799,33399,33512
D12,Sample X48,A,1.403,1.262,1.325,124988,123900,123213,64901,64290,64029,31804,31289,31101
E01,Sample X49,A,1.342,1.233,1.244,15084,14993,14972,7911,7778,7759,3842,3790,3764
E02,Sample X50,A,1.362,1.292,1.254,141600,139503,138971,73976,72778,72494,36002,35356,35076
E03,Sample X51,A,1.365,1.259,1.255,188435,186760,187305,98703,97923,97875,48027,47488,47346
E04,Sample X52,A,1.277,1.249,1.232,209484,209341,209028,110242,108907,109289,53983,52942,52957
E05,Sample X53,A,1.214,1.175,1.167,205930,204622,204647,107484,106672,106731,52584,52008,52046
E06,Sample X54,A,1.24,1.207,1.19,216181,214107,215127,113562,112262,112162,55506,54521,54645
E07,Sample X55,A,1.769,1.688,1.67,12138,12028,11980,6271,6241,6231,3052,3040,3019
E08,Sample X56,A,1.699,1.631,1.602,63149,62537,62399,32803,32464,32326,16052,15849,15692
E09,Sample X57,A,1.615,1.519,1.518,103844,102862,103155,53980,53473,53381,26272,26001,25974
E10,Sample X58,A,1.578,1.512,1.502,125749,124739,124949,65216,64794,64827,31767,31502,31452
E11,Sample X59,A,1.504,1.465,1.441,134668,133210,133760,70170,69488,69581,34041,33666,33652
E12,Sample X60,A,1.39,1.352,1.369,165325,164064,162717,86368,85318,85025,42243,41448,41189
F01,Sample X61,A,1.352,1.297,1.288,16859,16567,16433,8737,8569,8536,4229,4180,4126
F02,Sample X62,A,1.389,1.336,1.285,190376,186151,184865,100030,97310,96550,48979,47358,46627
F03,Sample X63,A,1.337,1.259,1.257,231797,227551,226200,122135,119509,118618,59777,58028,57653
F04,Sample X64,A,1.304,1.278,1.242,260000,258756,257578,138446,136284,135270,67817,66232,66115
F05,Sample X65,A,1.268,1.234,1.219,245912,242481,240963,129285,127246,126317,63439,61989,61644
F06,Sample X66,A,1.254,1.211,1.198,260000,260000,259995,142121,139626,139137,69596,68001,67927
F07,Sample X67,A,1.667,1.619,1.608,12078,12038,11901,6232,6224,6168,3044,3013,2998
F08,Sample X68,A,1.606,1.545,1.54,75819,74940,73890,39232,38970,38485,19046,18888,18737
F09,Sample X69,A,1.544,1.479,1.464,113035,112047,110462,58593,58451,57634,28525,28211,28058
F10,Sample X70,A,1.524,1.487,1.455,137901,136792,135543,71847,71097,70752,34810,34535,34310
F11,Sample X71,A,1.489,1.437,1.435,164558,162275,161543,85338,84387,84075,41521,41198,40722
F12,Sample X72,A,1.386,1.325,1.341,171272,168589,167463,89251,87336,87222,43614,42619,42279
H03,Blank B,A,0.054,0.052,0.051,9125,9210,9223,4734,4765,4820,2295,2309,2317
H04,Blank B,A,0.054,0.051,0.051,9091,9209,9182,4720,4737,4752,2276,2293,2305
H05,Negative control N,A,1.564,1.57,1.577,11355,11292,11279,5907,5863,5867,2856,2838,2839
H06,Negative control N,A,1.552,1.552,1.556,11285,11313,11253,5855,5851,5841,2849,2833,2839
H07,Blank B,B,0.072,0.07,0.071,9601,9502,9425,4970,4929,4890,2428,2383,2380
H08,Blank B,B,0.075,0.073,0.073,9417,9350,9279,4923,4852,4816,2371,2360,2348
H09,Negative control N,B,1.718,1.715,1.721,10820,10703,10623,5617,5578,5543,2725,2688,2677
H10,Negative control N,B,1.774,1.774,1.77,10925,10820,10774,5659,5608,5590,2745,2729,2705
H11,Positive control P,B,1.826,1.843,1.848,95078,94509,93708,49450,49149,48764,23992,23878,23618
H12,Positive control P,B,1.448,1.412,1.434,71197,70263,70302,37160,36562,36257,18028,17596,17636
